Time,numTrans
9/4/14 0:00,70940
9/6/14 0:00,67529
9/8/14 0:00,71754
9/10/14 0:00,76417
9/12/14 0:00,66303
9/14/14 0:00,66033
9/16/14 0:00,89326
9/18/14 0:00,79754
9/20/14 0:00,62315
9/22/14 0:00,68526
9/24/14 0:00,81104
9/26/14 0:00,73278
9/28/14 0:00,62200
9/30/14 0:00,78590
10/2/14 0:00,74630
10/4/14 0:00,70430
10/6/14 0:00,75126
10/8/14 0:00,80324
10/10/14 0:00,84811
10/12/14 0:00,63946
10/14/14 0:00,81491
10/16/14 0:00,74010
10/18/14 0:00,69474
10/20/14 0:00,78443
10/22/14 0:00,79546
10/24/14 0:00,81643
10/26/14 0:00,70537
10/28/14 0:00,88600
10/30/14 0:00,93338
11/1/14 0:00,74548
11/3/14 0:00,84522
11/5/14 0:00,89249
11/7/14 0:00,89542
11/9/14 0:00,72217
11/11/14 0:00,87338
11/13/14 0:00,100117
11/15/14 0:00,74831
11/17/14 0:00,85201
11/19/14 0:00,87321
11/21/14 0:00,86577
11/23/14 0:00,75041
11/25/14 0:00,82813
11/27/14 0:00,82979
11/29/14 0:00,81452
12/1/14 0:00,95220
12/3/14 0:00,97296
12/5/14 0:00,92900
12/7/14 0:00,77357
12/9/14 0:00,89587
12/11/14 0:00,85829
12/13/14 0:00,79512
12/15/14 0:00,95727
12/17/14 0:00,93704
12/19/14 0:00,92052
12/21/14 0:00,80829
12/23/14 0:00,99770
12/25/14 0:00,70684
12/27/14 0:00,78776
12/29/14 0:00,79812
12/31/14 0:00,83768
1/2/15 0:00,72234
1/4/15 0:00,85570
1/6/15 0:00,87160
1/8/15 0:00,99126
1/10/15 0:00,105895
